,date,map_name,player_one_race,player_two_race,player_one,player_two,game_length,winner_name,p_one_winner
3517,2020-07-01,Deathaura LE,Protoss,Protoss,LiquidMaNa,Vanya,04.47,LiquidMaNa,1
3518,2020-06-27,Ice and Chrome LE,Zerg,Zerg,Serral,MarineLorD,34.00,Serral,1
3519,2020-06-27,Deathaura LE,Zerg,Zerg,Serral,MarineLorD,18.33,Serral,1
3520,2020-06-26,Pillars of Gold LE,Zerg,Zerg,AGOElazer,LiquidMaNa,06.13,LiquidMaNa,0
3521,2020-06-26,Eternal Empire LE,Zerg,Zerg,AGOElazer,LiquidMaNa,11.50,LiquidMaNa,0
3522,2020-06-28,Pillars of Gold LE,Zerg,Zerg,Denver,Arctur,11.40,Denver,1
3523,2020-06-28,Ice and Chrome LE,Terran,Terran,Arctur,Denver,12.30,Denver,0
3524,2020-06-28,Golden Wall LE,Terran,Terran,LiquidClem,BlyOnFire,06.25,LiquidClem,1
3525,2020-06-28,Ever Dream LE,Zerg,Zerg,BlyOnFire,LiquidClem,13.32,LiquidClem,0
3526,2020-07-02,Ice and Chrome LE,Terran,Terran,BratOK,TLHarstem,04.52,TLHarstem,0
3527,2020-07-02,Eternal Empire LE,Protoss,Protoss,TLHarstem,BratOK,12.36,TLHarstem,1
3528,2020-07-03,Ever Dream LE,Protoss,Protoss,DnS,SortOf,13.28,DnS,1
3529,2020-06-30,Deathaura LE,Protoss,Protoss,Geralt,PtitDrogo,10.15,PtitDrogo,0
3530,2020-06-30,Eternal Empire LE,Protoss,Protoss,PtitDrogo,Geralt,15.31,Geralt,0
3531,2020-06-30,Ice and Chrome LE,Protoss,Protoss,PtitDrogo,Geralt,07.36,Geralt,0
3532,2020-06-28,Deathaura LE,Protoss,Protoss,GunGFuBanDa,Kas,14.21,GunGFuBanDa,1
3533,2020-06-28,Eternal Empire LE,Protoss,Protoss,GunGFuBanDa,Kas,14.53,GunGFuBanDa,1
3534,2020-06-30,Ever Dream LE,Protoss,Protoss,SKillous,HellraiseR,04.50,SKillous,1
3535,2020-06-30,Eternal Empire LE,Protoss,Protoss,HellraiseR,SKillous,09.25,HellraiseR,1
3536,2020-06-30,Deathaura LE,Protoss,Protoss,SKillous,HellraiseR,10.07,SKillous,1
3537,2020-06-26,Ice and Chrome LE,Terran,Terran,HeroMarine,liquidthermy,26.30,liquidthermy,0
3538,2020-06-26,Eternal Empire LE,Terran,Terran,HeroMarine,liquidthermy,04.20,HeroMarine,1
3539,2020-06-26,Ever Dream LE,Terran,Terran,HeroMarine,liquidthermy,06.54,HeroMarine,1
3540,2020-07-05,Ever Dream LE,Terran,Terran,MarineLorD,soul,13.30,MarineLorD,1
3541,2020-07-05,Eternal Empire LE,Terran,Terran,MarineLorD,soul,03.26,MarineLorD,1
3542,2020-06-27,Ice and Chrome LE,Protoss,Protoss,ShaDoWn,PtitDrogo,08.35,ShaDoWn,1
3543,2020-06-27,Eternal Empire LE,Protoss,Protoss,PtitDrogo,ShaDoWn,09.40,PtitDrogo,1
3544,2020-06-27,Deathaura LE,Protoss,Protoss,ShaDoWn,PtitDrogo,07.58,PtitDrogo,0
3545,2020-07-03,Ever Dream LE,Zerg,Zerg,AGOElazer,Vanya,04.13,Vanya,0
3546,2020-07-03,Deathaura LE,Zerg,Zerg,AGOElazer,Vanya,10.05,AGOElazer,1
3547,2020-07-03,Ice and Chrome LE,Zerg,Zerg,AGOElazer,Vanya,11.24,AGOElazer,1
3548,2020-07-05,Ever Dream LE,Protoss,Protoss,ShoWTimE,Arctur,11.06,ShoWTimE,1
3549,2020-07-05,Pillars of Gold LE,Protoss,Protoss,ShoWTimE,Arctur,12.47,ShoWTimE,1
3550,2020-07-04,Deathaura LE,Protoss,Protoss,ArT,Vanya,12.01,Vanya,0
3551,2020-07-03,Eternal Empire LE,Protoss,Protoss,Geralt,BratOK,17.48,Geralt,1
3552,2020-07-03,Ever Dream LE,Protoss,Protoss,Geralt,BratOK,12.11,Geralt,1
3553,2020-06-26,Eternal Empire LE,Protoss,Protoss,PtitDrogo,BratOK,07.37,PtitDrogo,1
3554,2020-06-26,Deathaura LE,Terran,Terran,BratOK,PtitDrogo,08.17,PtitDrogo,0
3555,2020-07-02,Deathaura LE,Protoss,Protoss,HellraiseR,GOStephano,12.07,GOStephano,0
3556,2020-07-02,Eternal Empire LE,Zerg,Zerg,GOStephano,HellraiseR,13.05,GOStephano,1
3557,2020-06-30,Ever Dream LE,Zerg,Zerg,GOStephano,soul,07.19,soul,0
3558,2020-06-30,Golden Wall LE,Zerg,Zerg,GOStephano,soul,36.14,soul,0
3559,2020-07-05,Ever Dream LE,Zerg,Zerg,Lambo,SKillous,11.35,Lambo,1
3560,2020-07-05,Pillars of Gold LE,Zerg,Zerg,Lambo,SKillous,08.48,Lambo,1
3561,2020-07-04,Ever Dream LE,Terran,Terran,LiquidClem,ShoWTimE,10.56,ShoWTimE,0
3562,2020-07-04,Golden Wall LE,Protoss,Protoss,ShoWTimE,LiquidClem,22.16,LiquidClem,0
3563,2020-07-04,Pillars of Gold LE,Protoss,Protoss,ShoWTimE,LiquidClem,07.08,LiquidClem,0
3564,2020-07-03,Deathaura LE,Protoss,Protoss,TLHarstem,PtitDrogo,14.08,PtitDrogo,0
3565,2020-07-03,Pillars of Gold LE,Protoss,Protoss,TLHarstem,PtitDrogo,09.19,PtitDrogo,0
3566,2020-06-24,Eternal Empire LE,Protoss,Protoss,PtitDrogo,Ziggy,08.29,PtitDrogo,1
3567,2020-06-24,Ice and Chrome LE,Protoss,Protoss,PtitDrogo,Ziggy,07.49,PtitDrogo,1
3568,2020-06-28,Ever Dream LE,Zerg,Zerg,Reynor,SortOf,07.09,Reynor,1
3569,2020-06-28,Pillars of Gold LE,Zerg,Zerg,Reynor,SortOf,06.36,Reynor,1
3570,2020-07-04,Ice and Chrome LE,Zerg,Zerg,BlyOnFire,Arctur,11.23,BlyOnFire,1
3571,2020-07-04,Eternal Empire LE,Zerg,Zerg,BlyOnFire,Arctur,16.03,Arctur,0
3572,2020-07-04,Pillars of Gold LE,Terran,Terran,Arctur,BlyOnFire,14.12,BlyOnFire,0
3573,2020-06-26,Ever Dream LE,Terran,Terran,Arctur,GunGFuBanDa,12.24,Arctur,1
3574,2020-06-26,Eternal Empire LE,Protoss,Protoss,GunGFuBanDa,Arctur,12.11,GunGFuBanDa,1
3575,2020-06-26,Deathaura LE,Terran,Terran,Arctur,GunGFuBanDa,08.35,Arctur,1
3576,2020-07-02,Ever Dream LE,Terran,Terran,Arctur,LiquidClem,12.52,LiquidClem,0
3577,2020-07-02,Eternal Empire LE,Terran,Terran,LiquidClem,Arctur,22.30,LiquidClem,1
3578,2020-07-01,Deathaura LE,Zerg,Zerg,Reynor,ArT,10.55,Reynor,1
3579,2020-07-01,Ever Dream LE,Zerg,Zerg,Reynor,ArT,03.35,Reynor,1
3580,2020-07-04,Ice and Chrome LE,Protoss,Protoss,ArT,Vanya,03.53,Vanya,0
3581,2020-06-24,Golden Wall LE,Zerg,Zerg,Denver,LiquidClem,07.21,LiquidClem,0
3582,2020-06-24,Pillars of Gold LE,Terran,Terran,LiquidClem,Denver,12.18,LiquidClem,1
3583,2020-07-01,Ever Dream LE,Protoss,Protoss,goblin,SortOf,07.06,SortOf,0
3584,2020-07-01,Ice and Chrome LE,Protoss,Protoss,goblin,SortOf,11.59,SortOf,0
3585,2020-06-25,Pillars of Gold LE,Protoss,Protoss,HellraiseR,MarineLorD,13.32,MarineLorD,0
3586,2020-06-25,Ever Dream LE,Protoss,Protoss,HellraiseR,MarineLorD,10.07,HellraiseR,1
3587,2020-06-25,Deathaura LE,Protoss,Protoss,HellraiseR,MarineLorD,18.04,HellraiseR,1
3588,2020-07-05,Ever Dream LE,Protoss,Protoss,HellraiseR,Rail,05.43,Rail,0
3589,2020-07-05,Eternal Empire LE,Protoss,Protoss,HellraiseR,Rail,16.37,HellraiseR,1
3590,2020-07-05,Deathaura LE,Protoss,Protoss,HellraiseR,Rail,10.37,HellraiseR,1
3591,2020-07-03,Submarine LE,Zerg,Zerg,Serral,Lambo,09.27,Lambo,0
3592,2020-07-03,Deathaura LE,Zerg,Zerg,Serral,Lambo,04.55,Serral,1
3593,2020-07-03,Golden Wall LE,Zerg,Zerg,Lambo,Serral,08.04,Lambo,1
3594,2020-07-04,Pillars of Gold LE,Terran,Terran,liquidthermy,ShaDoWn,08.26,liquidthermy,1
3595,2020-06-28,Pillars of Gold LE,Protoss,Protoss,ArT,AGOElazer,11.15,AGOElazer,0
3596,2020-06-28,Eternal Empire LE,Protoss,Protoss,ArT,AGOElazer,05.44,AGOElazer,0
3597,2020-07-01,Submarine LE,Terran,Terran,Arctur,Spatz,14.41,Arctur,1
3598,2020-07-01,Ever Dream LE,Terran,Terran,Arctur,Spatz,11.32,Arctur,1
3599,2020-06-25,Eternal Empire LE,Protoss,Protoss,ArT,LiquidMaNa,05.53,LiquidMaNa,0
3600,2020-06-25,Deathaura LE,Protoss,Protoss,LiquidMaNa,ArT,11.07,LiquidMaNa,1
3601,2020-06-26,Ice and Chrome LE,Protoss,Protoss,ShoWTimE,Denver,12.48,Denver,0
3602,2020-06-26,Deathaura LE,Protoss,Protoss,ShoWTimE,Denver,10.59,Denver,0
3603,2020-06-24,Eternal Empire LE,Zerg,Zerg,GOStephano,MarineLorD,14.41,GOStephano,1
3604,2020-06-24,Deathaura LE,Zerg,Zerg,GOStephano,MarineLorD,13.29,MarineLorD,0
3605,2020-06-24,Golden Wall LE,Zerg,Zerg,GOStephano,MarineLorD,05.38,MarineLorD,0
3606,2020-07-03,Deathaura LE,Protoss,Protoss,Rail,GOStephano,17.00,Rail,1
3607,2020-07-03,Eternal Empire LE,Zerg,Zerg,GOStephano,Rail,14.29,Rail,0
3608,2020-07-05,Ice and Chrome LE,Protoss,Protoss,GunGFuBanDa,LiquidClem,13.06,LiquidClem,0
3609,2020-07-05,Ever Dream LE,Terran,Terran,LiquidClem,GunGFuBanDa,08.44,LiquidClem,1
3610,2020-06-25,Ever Dream LE,Protoss,Protoss,Spatz,GunGFuBanDa,10.20,Spatz,1
3611,2020-06-25,Eternal Empire LE,Protoss,Protoss,GunGFuBanDa,Spatz,20.33,GunGFuBanDa,1
3612,2020-06-25,Ice and Chrome LE,Protoss,Protoss,Spatz,GunGFuBanDa,09.47,GunGFuBanDa,0
3613,2020-07-05,Deathaura LE,Protoss,Protoss,PtitDrogo,liquidthermy,15.28,liquidthermy,0
3614,2020-07-04,Ice and Chrome LE,Protoss,Protoss,ShaDoWn,liquidthermy,09.45,ShaDoWn,1
3615,2020-07-04,Ever Dream LE,Protoss,Protoss,ShaDoWn,liquidthermy,10.41,liquidthermy,0
3616,2020-06-25,Ever Dream LE,Protoss,Protoss,Rail,SKillous,21.03,Rail,1
3617,2020-06-25,Eternal Empire LE,Protoss,Protoss,Rail,SKillous,10.49,Rail,1
3618,2020-06-27,Ice and Chrome LE,Protoss,Protoss,TLHarstem,Ziggy,10.46,TLHarstem,1
3619,2020-06-27,Eternal Empire LE,Protoss,Protoss,TLHarstem,Ziggy,10.59,TLHarstem,1
3620,2020-07-05,Eternal Empire LE,Zerg,Zerg,SortOf,ArT,11.35,SortOf,1
3621,2020-07-05,Ever Dream LE,Zerg,Zerg,SortOf,ArT,16.13,SortOf,1
3622,2020-07-05,Вечная империя РВ,,,Ziggy,BratOK,12.09,BratOK,0
3623,2020-07-05,Лед и хром РВ,,,Ziggy,BratOK,16.41,BratOK,0
3624,2020-06-26,Eternal Empire LE,Protoss,Protoss,Geralt,Ziggy,20.57,Geralt,1
3625,2020-06-26,Ice and Chrome LE,Terran,Terran,Ziggy,Geralt,16.53,Geralt,0
3626,2020-07-05,Ever Dream LE,Zerg,Zerg,Serral,GOStephano,11.44,GOStephano,0
3627,2020-07-05,Ice and Chrome LE,Zerg,Zerg,Serral,GOStephano,04.24,Serral,1
3628,2020-07-05,Submarine LE,Zerg,Zerg,Serral,GOStephano,06.04,Serral,1
3629,2020-06-27,Golden Wall LE,Zerg,Zerg,GOStephano,SKillous,14.35,SKillous,0
3630,2020-06-27,Deathaura LE,Protoss,Protoss,SKillous,GOStephano,10.41,SKillous,1
3631,2020-07-01,Deathaura LE,Protoss,Protoss,ShoWTimE,GunGFuBanDa,21.10,ShoWTimE,1
3632,2020-07-01,Eternal Empire LE,Protoss,Protoss,ShoWTimE,GunGFuBanDa,08.16,ShoWTimE,1
